DS_PS_Ids	DS_PS_LFC	DS_PS_Genus	AN_PS_Ids	AN_PS_LFC	AN_PS_Genus	DS_Ne_IDs	DS_Ne_LFC	DS_Ne_Genus	AN_Ne_IDs	AN_Ne_LFC	AN_Ne_Genus	DS_Ba_IDs	DS_Ba_LFC	DS_Ba_Genus	AN_Ba_IDs	AN_Ba_LFC	AN_Ba_Genus
83655	6.150711937	Leclercia	566	3.769296839	Pseudescherichia	1721091	4.307486295	Chryseobacterium	128785	2.202935836	Pseudoxanthomonas	1774273	4.553373811	Polaribacter	1790137	2.625290965	Wenyingzhuangia
28901	6.127225144	Salmonella	28901	3.713830509	Salmonella	1842534	3.907786252	Sinorhizobium	338	2.192181233	Xanthomonas	2713573	4.499526768	Sphingobacterium	1774273	2.578236062	Polaribacter
566	6.1183759	Pseudescherichia	61648	3.709073591	Kluyvera	128785	3.744687173	Pseudoxanthomonas	444051	2.183387926	Mesoflavibacter	76831	4.472645906	Myroides	1850246	2.545936551	Urechidicola
61648	6.096458038	Kluyvera	2713573	3.678207721	Sphingobacterium	106592	3.605364826	Ensifer	983544	2.166647467	Lacinutrix	444051	4.384336672	Mesoflavibacter	983544	2.545270066	Lacinutrix
82983	6.076691808	Obesumbacterium	158822	3.670911301	Cedecea	547	3.55467427	Enterobacter	106592	2.147144575	Ensifer	879274	4.335438609	Shinella	69	2.526515389	Lysobacter
94254	5.940022494	Dyadobacter	565	3.590159808	Atlantibacter	338	3.525513034	Xanthomonas	1628248	2.125894085	Empedobacter	1790137	4.320869678	Wenyingzhuangia	382	2.507395046	Sinorhizobium
281120	5.937177788	Candidatus Amoebophilus	158877	3.433669841	Yokenella	2570561	3.522694608	Psychroserpens	2686361	2.11726359	Polaribacter	2570561	4.29408901	Psychroserpens	76831	2.489487942	Myroides
565	5.934210349	Atlantibacter	254	3.4220154	Chryseobacterium	359408	3.505390724	Methylotenera	359408	2.110980913	Methylotenera	639310	4.239255877	Olleya	338	2.487529545	Xanthomonas
158877	5.741143156	Yokenella	2735868	3.414373078	Exiguobacterium	444051	3.498165126	Mesoflavibacter	1850246	2.099589658	Urechidicola	247	4.207165167	Empedobacter	444051	2.471444205	Mesoflavibacter
570	5.696469501	Klebsiella	629	3.33094784	Yersinia	80865	3.485714161	Delftia	1241981	2.092701649	Epilithonimonas	584609	4.125147792	Tenacibaculum	247	2.470461015	Empedobacter
629	5.607691503	Yersinia	570	3.323061733	Klebsiella	983544	3.46312514	Lacinutrix	2570561	2.081769972	Psychroserpens	762954	4.115038694	Siansivirga	1241981	2.444053423	Epilithonimonas
2713573	5.598449377	Sphingobacterium	338	3.300792369	Xanthomonas	1850246	3.445724006	Urechidicola	76831	2.076900251	Myroides	69	4.103545282	Lysobacter	217203	2.417052051	Achromobacter
338	5.502371228	Xanthomonas	569	3.165739395	Hafnia	217203	3.443485753	Achromobacter	217203	2.073058772	Achromobacter	338	4.093416322	Xanthomonas	2570561	2.410984622	Psychroserpens
